Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2026-06-11,2026-06-12,4321,STARBUCKS #1148,Dining,6.15,
2026-06-13,2026-06-14,4321,VENTRA VENDING,Other Travel,10.00,
2026-06-15,2026-06-16,4321,KROGER #882,Merchandise,81.06,
2026-06-17,2026-06-18,4321,PLANET FITNESS,Entertainment,24.99,
2026-06-19,2026-06-20,4321,LYFT RIDE,Other Travel,22.85,
2026-06-21,2026-06-22,4321,GOOGLE ONE STORAGE,Internet,2.99,
2026-06-23,2026-06-24,4321,NETFLIX.COM,Other Services,17.99,
2026-06-25,2026-06-26,4321,PUBLIC STORAGE 21400,Other Travel,53.31,
2026-06-27,2026-06-28,4321,AMAZON MKTPL,Merchandise,29.44,
2026-06-29,2026-06-30,4321,RED CROSS DONATION,Other Services,25.00,
2026-07-01,2026-07-02,4321,METRO BY T-MOBILE,Phone/Cable,45.00,
2026-07-03,2026-07-04,4321,PIZZA HUT #4471,Dining,24.30,
2026-07-05,2026-07-06,4321,TRADER JOE'S #455,Merchandise,39.87,
2026-07-08,2026-07-09,4321,VENTRA VENDING,Other Travel,10.00,
2026-07-10,2026-07-11,4321,CAPITAL ONE MOBILE PYMTAuthDate 10-Jul,Payment/Credit,,700.00
2026-07-11,2026-07-12,4321,CHIPOTLE MEXICAN GRILL,Dining,13.85,
