Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2026-04-11,2026-04-12,4321,STARBUCKS #1148,Dining,6.45,
2026-04-12,2026-04-13,4321,VENTRA VENDING,Other Travel,10.00,
2026-04-13,2026-04-14,4321,CHIPOTLE MEXICAN GRILL,Dining,13.85,
2026-04-15,2026-04-16,4321,KROGER #882,Merchandise,74.19,
2026-04-16,2026-04-17,4321,AMAZON MKTPL,Merchandise,38.90,
2026-04-18,2026-04-19,4321,PLANET FITNESS,Entertainment,24.99,
2026-04-20,2026-04-21,4321,UBER TRIP,Other Travel,18.40,
2026-04-22,2026-04-23,4321,GOOGLE ONE STORAGE,Internet,2.99,
2026-04-24,2026-04-25,4321,NETFLIX.COM,Other Services,17.99,
2026-04-25,2026-04-26,4321,PUBLIC STORAGE 21400,Other Travel,53.31,
2026-04-27,2026-04-28,4321,TRADER JOE'S #455,Merchandise,52.08,
2026-04-29,2026-04-30,4321,DOORDASH*ORDER,Dining,31.20,
2026-05-01,2026-05-02,4321,METRO BY T-MOBILE,Phone/Cable,45.00,
2026-05-03,2026-05-04,4321,CVS PHARMACY #3187,Health Care,22.75,
2026-05-05,2026-05-06,4321,VENTRA VENDING,Other Travel,10.00,
2026-05-08,2026-05-09,4321,REGAL CINEMAS 900,Entertainment,29.50,
2026-05-10,2026-05-11,4321,CAPITAL ONE MOBILE PYMTAuthDate 10-May,Payment/Credit,,420.00
